# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
amniotic fluid embolism	med	medical
amosite asbestos	med	medical
amp deaminase	med	medical
ampa receptors	med	medical
amphibian proteins	med	medical
amphibian venoms	med	medical
amphibole asbestos	med	medical
ampholyte mixtures	med	medical
ampicillin resistance	med	medical
ampulla hair cells	med	medical
ampulla of vater	med	medical
amputation stumps	med	medical
amyl nitrite	med	medical
amylin receptor agonists	med	medical
amyloid neuropathies	med	medical
amyloid plaque	med	medical
amyloid precursor protein secretases	med	medical
amyloidogenic proteins	med	medical
amyotrophic lateral sclerosis	med	medical
anabaena cylindrica	med	medical
anabaena variabilis	med	medical
anabolic agents	med	medical
anabolic androgenic steroids	med	medical
anacardic acids	med	medical
anaerobic ammonia oxidation	med	medical
anaerobic bacteria	med	medical
anaerobic threshold	med	medical
anal canal	med	medical
anal gland neoplasms	med	medical
anal sacs	med	medical
analog computers	med	medical
analysis of variance	med	medical
analytic chemistry	med	medical
analytic hierarchy process	med	medical
analytic sample preparation methods	med	medical
analytical chemistry techniques	med	medical
anaplasma centrale	med	medical
anaplasma marginale	med	medical
anaplasma ovis	med	medical
anaplasma phagocytophilum	med	medical
anaplasmataceae infections	med	medical
anaplastic lymphoma kinase	med	medical
anaplastic thyroid carcinoma	med	medical
anastomotic leak	med	medical
anatomic landmarks	med	medical
anatomic models	med	medical
anatomic variation	med	medical
anatomical pathological conditions	med	medical
ancient dna	med	medical
ancient egypt	med	medical
ancient greece	med	medical
ancient history	med	medical
ancient lands	med	medical
andersen syndrome	med	medical
androgen antagonists	med	medical
androgen receptor antagonists	med	medical
androgen receptors	med	medical
andrographis paniculata	med	medical
anecdotes as topic	med	medical
anemia dyserythropoietic congenital	med	medical
anemia hemolytic autoimmune	med	medical
anemia hemolytic congenital	med	medical
anemia hemolytic congenital nonspherocytic	med	medical
anemia hypoplastic congenital	med	medical
anesthesia adjuvants	med	medical
anesthesia and analgesia	med	medical
anesthesia recovery period	med	medical
anesthetic hypnosis	med	medical
anethole trithione	med	medical
anethum graveolens	med	medical
aneurysmal bone cysts	med	medical
angelica archangelica	med	medical
angelica sinensis	med	medical
angelman syndrome	med	medical
anger management therapy	med	medical
angina pectoris	med	medical
angiogenesis inducing agents	med	medical
angiogenesis inhibitors	med	medical
angiogenesis modulating agents	med	medical
angiogenic proteins	med	medical
angioid streaks	med	medical
angiolymphoid hyperplasia with eosinophilia	med	medical
angioplasty balloon coronary	med	medical
angiostatic proteins	med	medical
angiostrongylus cantonensis	med	medical
angiotensin amide	med	medical
angiotensin ii	med	medical
angiotensin iii	med	medical
angiotensin receptor antagonists	med	medical
angiotensin receptors	med	medical
angle class ii malocclusion	med	medical
angle class iii malocclusion	med	medical
angucyclines and angucyclinones	med	medical
angular pregnancy	med	medical
aniline compounds	med	medical
aniline hydroxylase	med	medical
aniline mustard	med	medical
anilino naphthalenesulfonates	med	medical
animal assisted therapy	med	medical
animal behavior	med	medical
animal care committees	med	medical
animal carpus	med	medical
animal communication	med	medical
animal culling	med	medical
animal disease models	med	medical
animal diseases	med	medical
animal distribution	med	medical
animal eliminative behavior	med	medical
animal euthanasia	med	medical
animal experimentation	med	medical
animal feed	med	medical
animal fins	med	medical
animal flight	med	medical
animal fur	med	medical
animal helminthiasis	med	medical
animal hepatitis	med	medical
animal hospitals	med	medical
animal housing	med	medical
animal husbandry	med	medical
animal identification systems	med	medical
animal lameness	med	medical
animal mammary glands	med	medical
animal mammary neoplasms	med	medical
animal mating preference	med	medical
animal migration	med	medical
animal models	med	medical
animal muscular dystrophy	med	medical
animal nutrition sciences	med	medical
animal nutritional physiological phenomena	med	medical
animal parasitic diseases	med	medical
animal physical conditioning	med	medical
animal population groups	med	medical
animal pregnancy	med	medical
animal protozoan infections	med	medical
animal rights	med	medical
animal salmonella infections	med	medical
animal scales	med	medical
animal sexual behavior	med	medical
animal shells	med	medical
animal structures	med	medical
animal tarsus	med	medical
animal technicians	med	medical
animal testing alternatives	med	medical
animal toxoplasmosis	med	medical
animal use alternatives	med	medical
animal vocalization	med	medical
animal welfare	med	medical
animal wings	med	medical
anion exchange resins	med	medical
anion transport proteins	med	medical
ankle brachial index	med	medical
ankle fractures	med	medical
ankle injuries	med	medical
ankle joint	med	medical
ankle lateral ligament	med	medical
ankylosing spondylitis	med	medical
ankyrin repeat	med	medical
anniversaries and special events	med	medical
annual report	med	medical
annual reports as topic	med	medical
annulus fibrosus	med	medical
anomalous left coronary artery	med	medical
anonymous testing	med	medical
anonyms and pseudonyms	med	medical
anorectal malformations	med	medical
anorexia nervosa	med	medical
answering services	med	medical
ant venoms	med	medical
antarctic regions	med	medical
ante meridiem	-	latin
antennapedia homeodomain protein	med	medical
anterior cerebral artery	med	medical
anterior cerebral artery infarction	med	medical
anterior chamber	med	medical
anterior compartment syndrome	med	medical
anterior cranial fossa	med	medical
anterior cruciate ligament	med	medical
anterior cruciate ligament injuries	med	medical
anterior cruciate ligament reconstruction	med	medical
anterior eye segment	med	medical
anterior horn cells	med	medical
anterior hypothalamic nucleus	med	medical
anterior hypothalamus	med	medical
anterior pituitary gland	med	medical
anterior pituitary hormones	med	medical
anterior spinal artery syndrome	med	medical
anterior temporal lobectomy	med	medical
anterior thalamic nuclei	med	medical
anterior uveitis	med	medical
anterior wall myocardial infarction	med	medical
anterograde amnesia	med	medical
anthranilate phosphoribosyltransferase	med	medical
anthranilate synthase	med	medical
anthrax vaccines	med	medical
anthropogenic effects	med	medical
antibiotic prophylaxis	med	medical
antibodies monoclonal humanized	med	medical
antibody affinity	med	medical
antibody binding sites	med	medical
antibody diversity	med	medical
antibody formation	med	medical
antibody specificity	med	medical
anticarcinogenic agents	med	medical
anticardiolipin antibodies	med	medical
anticestodal agents	med	medical
anticholesteremic agents	med	medical
anticholinergic syndrome	med	medical
anticipatory vomiting	med	medical
anticoagulant reversal agents	med	medical
anticoagulation bridge	med	medical
anticoagulation reversal	med	medical
antidepressive agents	med	medical
antidiuretic agents	med	medical
antidiuretic hormone receptor antagonists	med	medical
antifibrinolytic agents	med	medical
